epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.903,1.88018,2.10607,1.65871,0.59767,0.4317,0.46816,0.2415,1.65868,1.47329,1.49135,0.00331776,0.00331776,0.00331776
2,582.986,1.6068,1.41947,1.43884,0.60986,0.45361,0.49699,0.26647,1.56545,1.41581,1.4216,0.0066478,0.0066478,0.0066478
3,862.895,1.5397,1.36547,1.3949,0.61892,0.46535,0.51184,0.28132,1.51296,1.37878,1.39451,0.00997454,0.00997454,0.00997454
4,1154.6,1.50156,1.32205,1.36765,0.63462,0.47012,0.52034,0.29284,1.47989,1.36363,1.3728,0.00998515,0.00998515,0.00998515
5,1436.34,1.46164,1.28246,1.342,0.64838,0.49164,0.54642,0.30874,1.45164,1.30831,1.354,0.0099802,0.0099802,0.0099802
6,1724.61,1.43624,1.25796,1.32763,0.65779,0.50547,0.55865,0.32241,1.4015,1.27329,1.32065,0.00997525,0.00997525,0.00997525
7,2004.4,1.41301,1.22861,1.31083,0.65829,0.50619,0.56115,0.32418,1.4096,1.26548,1.31602,0.0099703,0.0099703,0.0099703
8,2282.42,1.39944,1.21672,1.3043,0.66278,0.50813,0.56796,0.32664,1.38927,1.25344,1.30145,0.00996535,0.00996535,0.00996535
9,2554.85,1.38366,1.20272,1.29402,0.65958,0.51569,0.56588,0.33183,1.39033,1.2583,1.29225,0.0099604,0.0099604,0.0099604
10,2832.1,1.37463,1.1909,1.28541,0.67563,0.52891,0.5878,0.34599,1.35595,1.21407,1.27232,0.00995545,0.00995545,0.00995545
11,3112.18,1.36289,1.17371,1.27565,0.67788,0.51937,0.58249,0.34134,1.36134,1.20851,1.2804,0.0099505,0.0099505,0.0099505
12,3383.68,1.35653,1.16987,1.27431,0.67151,0.52202,0.58123,0.34356,1.33814,1.21347,1.26421,0.00994555,0.00994555,0.00994555
13,3653.44,1.34502,1.15517,1.26607,0.66578,0.54061,0.59139,0.35061,1.33886,1.17658,1.26918,0.0099406,0.0099406,0.0099406
14,3928.8,1.33587,1.14684,1.26164,0.68514,0.53014,0.59499,0.35366,1.32941,1.18316,1.26,0.00993565,0.00993565,0.00993565
15,4202.53,1.33211,1.14377,1.25614,0.67269,0.5407,0.59941,0.35274,1.33675,1.16913,1.2642,0.0099307,0.0099307,0.0099307
16,4472.92,1.32541,1.13919,1.25424,0.68625,0.54486,0.60631,0.36484,1.30219,1.14672,1.24523,0.00992575,0.00992575,0.00992575
17,4754.05,1.31985,1.12996,1.24833,0.69101,0.53746,0.60395,0.36598,1.30939,1.15903,1.2433,0.0099208,0.0099208,0.0099208
18,5196.15,1.31311,1.12626,1.24522,0.67909,0.55158,0.60862,0.36334,1.31679,1.14517,1.25165,0.00991585,0.00991585,0.00991585
19,5554.44,1.30289,1.11669,1.24062,0.67876,0.55737,0.61453,0.37229,1.28702,1.13138,1.22667,0.0099109,0.0099109,0.0099109
20,5949.77,1.30125,1.10839,1.23704,0.6868,0.54993,0.61365,0.37374,1.28056,1.12587,1.23117,0.00990595,0.00990595,0.00990595
21,6320.78,1.29914,1.11065,1.23683,0.67987,0.56416,0.61968,0.37758,1.2749,1.11579,1.21889,0.009901,0.009901,0.009901
22,6664.3,1.28988,1.09841,1.22914,0.68809,0.56103,0.61947,0.37966,1.2678,1.10928,1.21676,0.00989605,0.00989605,0.00989605
23,7031.51,1.28781,1.09656,1.22881,0.69989,0.55963,0.62385,0.38168,1.26769,1.10603,1.2167,0.0098911,0.0098911,0.0098911
24,7392.78,1.28817,1.09905,1.22682,0.69758,0.56201,0.62736,0.38575,1.24268,1.09606,1.21112,0.00988615,0.00988615,0.00988615
25,7739.41,1.28201,1.091,1.22371,0.68784,0.5746,0.63068,0.38677,1.24815,1.08853,1.20696,0.0098812,0.0098812,0.0098812
