epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.711,1.9427,2.1094,1.78719,0.53192,0.39319,0.40592,0.19579,1.83202,1.77327,1.73131,0.00332944,0.00332944,0.00332944
2,658.779,1.72551,1.60362,1.62857,0.56905,0.40167,0.43334,0.21869,1.73796,1.6626,1.66198,0.00665947,0.00665947,0.00665947
3,978.095,1.64546,1.50933,1.56523,0.58757,0.42229,0.4615,0.24023,1.68891,1.57838,1.62195,0.00998621,0.00998621,0.00998621
4,1299.8,1.58801,1.42902,1.52174,0.61176,0.44876,0.49178,0.26462,1.62623,1.5019,1.57823,0.00998515,0.00998515,0.00998515
5,1622.24,1.52254,1.34948,1.47723,0.62002,0.48437,0.52622,0.29158,1.55785,1.40407,1.53078,0.0099802,0.0099802,0.0099802
6,1944.78,1.47924,1.30122,1.4503,0.64126,0.49859,0.54988,0.30991,1.49143,1.34935,1.47611,0.00997525,0.00997525,0.00997525
7,2266.3,1.44551,1.25958,1.42522,0.64428,0.51219,0.56297,0.32337,1.45495,1.30386,1.45884,0.0099703,0.0099703,0.0099703
8,2587.02,1.41304,1.22673,1.40662,0.66103,0.52725,0.5823,0.33822,1.41397,1.25596,1.42586,0.00996535,0.00996535,0.00996535
9,2907.82,1.39193,1.19848,1.39077,0.65968,0.53882,0.59036,0.34682,1.40163,1.23182,1.41951,0.0099604,0.0099604,0.0099604
10,3226.22,1.36739,1.17467,1.37546,0.67337,0.54839,0.60277,0.35888,1.36451,1.19693,1.39921,0.00995545,0.00995545,0.00995545
11,3544.71,1.35349,1.15655,1.36433,0.6773,0.54756,0.60738,0.36375,1.35016,1.19259,1.38696,0.0099505,0.0099505,0.0099505
12,4074.3,1.33891,1.14185,1.35488,0.67262,0.55733,0.61408,0.37066,1.33695,1.16449,1.37865,0.00994555,0.00994555,0.00994555
13,4495.43,1.32085,1.12525,1.34525,0.67946,0.56626,0.61919,0.37412,1.31811,1.14924,1.37186,0.0099406,0.0099406,0.0099406
14,4870.51,1.31412,1.11681,1.33935,0.68312,0.56754,0.62494,0.38082,1.29782,1.13374,1.36008,0.00993565,0.00993565,0.00993565
15,5228.28,1.30147,1.10703,1.33058,0.67385,0.57742,0.62933,0.38717,1.28453,1.11429,1.34403,0.0099307,0.0099307,0.0099307
16,5585.39,1.28964,1.09346,1.32372,0.68487,0.57937,0.63692,0.39272,1.26485,1.10203,1.33649,0.00992575,0.00992575,0.00992575
17,5942.17,1.27922,1.08647,1.31622,0.67667,0.58498,0.63852,0.39664,1.26497,1.09576,1.33676,0.0099208,0.0099208,0.0099208
18,6302.15,1.26899,1.07838,1.31099,0.68502,0.58864,0.64269,0.4,1.25178,1.08377,1.32537,0.00991585,0.00991585,0.00991585
19,6662.19,1.26174,1.06972,1.30604,0.68338,0.59004,0.64837,0.40602,1.24431,1.07026,1.31934,0.0099109,0.0099109,0.0099109
20,7025.9,1.24851,1.06155,1.29719,0.68729,0.59806,0.65114,0.40909,1.2328,1.06312,1.31548,0.00990595,0.00990595,0.00990595
21,7379.07,1.24817,1.05815,1.29473,0.6921,0.59855,0.65548,0.41176,1.22707,1.05094,1.30966,0.009901,0.009901,0.009901
22,7737.26,1.24101,1.04866,1.29164,0.6928,0.60166,0.65761,0.41508,1.21693,1.04303,1.30428,0.00989605,0.00989605,0.00989605
23,8090.19,1.22933,1.04183,1.28449,0.6997,0.59974,0.66143,0.41801,1.20651,1.03768,1.29758,0.0098911,0.0098911,0.0098911
24,8453.3,1.22665,1.03797,1.27708,0.69447,0.60366,0.66262,0.4204,1.20094,1.03272,1.29332,0.00988615,0.00988615,0.00988615
